A00	A00	Cólera
A000	A00.0	Cólera debido a Vibrio cholerae 01, biotipo cholerae
A001	A00.1	Cólera debido a Vibrio cholerae 01, biotipo el Tor
A009	A00.9	Cólera, no especificado
A01	A01	Fiebres tifoidea y paratifoidea
A010	A01.0	Fiebre tifoidea
A011	A01.1	Fiebre paratifoidea A
A012	A01.2	Fiebre paratifoidea B
A013	A01.3	Fiebre paratifoidea C
A014	A01.4	Fiebre paratifoidea, no especificada
A02	A02	Otras infecciones debidas a Salmonella
A020	A02.0	Enteritis debida a Salmonella
A021	A02.1	Sepsis debida a Salmonella
A022	A02.2	Infecciones localizadas debidas a Salmonella
A028	A02.8	Otras infecciones especificadas como debidas a Salmonella
A029	A02.9	Infección debida a Salmonella, no especificada
A03	A03	Shigelosis
A030	A03.0	Shigelosis debida a Shigella dysenteriae
A031	A03.1	Shigelosis debida a Shigella flexneri
A032	A03.2	Shigelosis debida a Shigella boydii
A033	A03.3	Shigelosis debida a Shigella sonnei
A038	A03.8	Otras shigelosis
A039	A03.9	Shigelosis de tipo no especificado
A04	A04	Otras infecciones intestinales bacterianas
A040	A04.0	Infección debida a Escherichia coli enteropatógena
A041	A04.1	Infección debida a Escherichia coli enterotoxígena
A042	A04.2	Infección debida a Escherichia coli enteroinvasiva
A043	A04.3	Infección debida a Escherichia coli enterohemorrágica
A044	A04.4	Otras infecciones intestinales debidas a Escherichia coli
A045	A04.5	Enteritis debida a Campylobacter
A046	A04.6	Enteritis debida a Yersinia enterocolitica
A047	A04.7	Enterocolitis debida a Clostridium difficile
A048	A04.8	Otras infecciones intestinales bacterianas especificadas
A049	A04.9	Infección intestinal bacteriana, no especificada
A05	A05	Otras intoxicaciones alimentarias bacterianas, no clasificadas en otra parte
A050	A05.0	Intoxicación alimentaria estafilocócica
A051	A05.1	Botulismo
A052	A05.2	Intoxicación alimentaria debida a Clostridium perfringens [Clostridium welchii]
A053	A05.3	Intoxicación alimentaria debida a Vibrio parahaemolyticus
A054	A05.4	Intoxicación alimentaria debida a Bacillus cereus
A058	A05.8	Otras intoxicaciones alimentarias debidas a bacterias especificadas
A059	A05.9	Intoxicación alimentaria bacteriana, no especificada
A06	A06	Amebiasis
A060	A06.0	Disentería amebiana aguda
A061	A06.1	Amebiasis intestinal crónica
A062	A06.2	Colitis amebiana no disentérica
A063	A06.3	Ameboma intestinal
A064	A06.4	Absceso amebiano del hígado
A065	A06.5	Absceso amebiano del pulmón
A066	A06.6	Absceso amebiano del cerebro
A067	A06.7	Amebiasis cutánea
A068	A06.8	Infección amebiana de otras localizaciones
A069	A06.9	Amebiasis, no especificada
A07	A07	Otras enfermedades intestinales debidas a protozoarios
A070	A07.0	Balantidiasis
A071	A07.1	Giardiasis [lambliasis]
A072	A07.2	Criptosporidiosis
A073	A07.3	Isosporiasis
A078	A07.8	Otras enfermedades intestinales especificadas debidas a protozoarios
A079	A07.9	Enfermedad intestinal debida a protozoarios, no especificada
A08	A08	Infecciones intestinales debidas a virus y otros organismos especificados
A080	A08.0	Enteritis debida a rotavirus
A081	A08.1	Gastroenteropatía aguda debida al agente de Norwalk
A082	A08.2	Enteritis debida a adenovirus
A083	A08.3	Otras enteritis virales
A084	A08.4	Infección intestinal viral, sin otra especificación
A085	A08.5	Otras infecciones intestinales especificadas
A09	A09	Otras gastroenteritis y colitis de origen infeccioso y no especificado
A090	A09.0	Otras gastroenteritis y colitis de origen infeccioso
A099	A09.9	Gastroenteritis y colitis de origen no especificado
A15	A15	Tuberculosis respiratoria, confirmada bacteriológica e histológicamente
A150	A15.0	Tuberculosis del pulmón, confirmada por hallazgo microscópico del bacilo tuberculoso en esputo, con o sin cultivo
A151	A15.1	Tuberculosis del pulmón, confirmadaúnicamente por cultivo
A152	A15.2	Tuberculosis del pulmón, confirmada histológicamente
A153	A15.3	Tuberculosis del pulmón, confirmada por medios no especificados
A154	A15.4	Tuberculosis de ganglios linfáticos intratorácicos, confirmada bacteriológica e histológicamente
A155	A15.5	Tuberculosis de laringe, traquea y bronquios, confirmada bacteriológica e histológicamente
A156	A15.6	Pleuresía tuberculosa, confirmada bacteriológica e histológicamente
A157	A15.7	Tuberculosis respiratoria primaria, confirmada bacteriológica e histológicamente
A158	A15.8	Otras tuberculosis respiratorias, confirmadas bacteriológica e histológicamente
A159	A15.9	Tuberculosis respiratoria no especificada, confirmada bacteriológica e histológicamente
A16	A16	Tuberculosis respiratoria, no confirmada bacteriológica o histológicamente
A160	A16.0	Tuberculosis del pulmón, con examen bacteriológico e histológico negativos
A161	A16.1	Tuberculosis de pulmón, sin examen bacteriológico e histológico
A162	A16.2	Tuberculosis de pulmón, sin mención de confirmación bacteriológica o histológica
A163	A16.3	Tuberculosis de ganglios linfáticos intratorácicos, sin mención de confirmación bacteriológica o histológica
A164	A16.4	Tuberculosis de laringe, traquea y bronquios, sin mención de confirmación bacteriológica o histológica
A165	A16.5	Pleuresía tuberculosa, sin mención de confirmación bacteriológica o histológica
A167	A16.7	Tuberculosis respiratoria primaria, sin mención de confirmación bacteriológica o histológica
A168	A16.8	Otras tuberculosis respiratorias, sin mención de confirmación
A169	A16.9	Tuberculosis respiratoria no especificada, sin mención de confirmación bacteriológica o histológica
A17	A17	Tuberculosis del sistema nervioso
A170	A17.0	Meningitis tuberculosa
A171	A17.1	Tuberculoma meníngeo
A178	A17.8	Otras tuberculosis del sistema nervioso
A179	A17.9	Tuberculosis del sistema nervioso, no especificada
A18	A18	Tuberculosis de otros órganos
A180	A18.0	Tuberculosis de huesos y articulaciones
A181	A18.1	Tuberculosis del aparato genitourinario
A182	A18.2	Linfadenopatía periférica tuberculosa
A183	A18.3	Tuberculosis de los intestinos, el peritoneo y los ganglios mesentéricos
A184	A18.4	Tuberculosis de la piel y el tejido subcutáneo
A185	A18.5	Tuberculosis del ojo
A186	A18.6	Tuberculosis del oído
A187	A18.7	Tuberculosis de glándulas suprarrenales
A188	A18.8	Tuberculosis de otros órganos especificados
A19	A19	Tuberculosis miliar
A190	A19.0	Tuberculosis miliar aguda de un solo sitio especificado
A191	A19.1	Tuberculosis miliar aguda de sitios múltiples
A192	A19.2	Tuberculosis miliar aguda, no especificada
A198	A19.8	Otras tuberculosis miliares
A199	A19.9	Tuberculosis miliar, sin otra especificación
A20	A20	Peste
A200	A20.0	Peste bubónica
A201	A20.1	Peste celulocutánea
A202	A20.2	Peste neumónica
A203	A20.3	Meningitis por peste
A207	A20.7	Peste septicémica
A208	A20.8	Otras formas de peste
A209	A20.9	Peste, no especificada
A21	A21	Tularemia
A210	A21.0	Tularemia ulceroglandular
A211	A21.1	Tularemia oculoglandular
A212	A21.2	Tularemia pulmonar
A213	A21.3	Tularemia gastrointestinal
A217	A21.7	Tularemia generalizada
A218	A21.8	Otras formas de tularemia
A219	A21.9	Tularemia, no especificada
A22	A22	Carbunco [ántrax]
A220	A22.0	Carbunco cutáneo
A221	A22.1	Carbunco pulmonar
A222	A22.2	Carbunco gastrointestinal
A227	A22.7	Carbunco séptico
A228	A22.8	Otras formas de carbunco
A229	A22.9	Carbunco, no especificado
A23	A23	Brucelosis
A230	A23.0	Brucelosis debida a Brucella melitensis
A231	A23.1	Brucelosis debida a Brucella abortus
A232	A23.2	Brucelosis debida a Brucella suis
A233	A23.3	Brucelosis debida a Brucella canis
A238	A23.8	Otras brucelosis
A239	A23.9	Brucelosis, no especificada
A24	A24	Muermo y melioidosis
A240	A24.0	Muermo
A241	A24.1	Melioidosis aguda y fulminante
A242	A24.2	Melioidosis subaguda y crónica
A243	A24.3	Otras melioidosis
A244	A24.4	Melioidosis, no especificada
A25	A25	Fiebre por mordedura de rata
A250	A25.0	Espirilosis
A251	A25.1	Estreptobacilosis
A259	A25.9	Fiebre por mordedura de rata, no especificada
A26	A26	Erisipeloide
